Name	RA	DEC	ML_FLUX_0	Redshift
PGC268761	61.9942995	-71.4753397	NULL	NULL
ESO113-010	16.3204905	-58.437436700000006	8.494531467118094e-12	NULL
2MASXJ07471136+3847586	116.797347	38.7996487	NULL	NULL
2MASXJ17335884+5830269	263.4954825	58.507273	NULL	NULL
PGC2040009	115.9665675	33.8560973	NULL	NULL
PGC2088793	114.086088	36.8880889	NULL	NULL
PGC2106279	115.79780099999999	37.6621945	NULL	NULL
PGC2115611	118.29868049999999	38.0131902	NULL	NULL
PGC2159372	119.434284	40.022179200000004	NULL	NULL
PGC2159647	118.77449100000001	40.0412518	NULL	NULL
PGC2161398	116.3349135	40.1499933	NULL	NULL
PGC2162568	116.4841995	40.22274960000001	NULL	NULL
PGC2190352	118.24121250000002	41.986310700000004	NULL	NULL
PGC2207837	119.74149299999999	42.8679208	NULL	NULL
PGC2218451	118.6516935	43.3414685	NULL	NULL
PGC2225690	122.87095349999998	43.6446549	NULL	NULL
PGC2324054	126.81575999999998	48.7207313	NULL	NULL
PGC2343949	124.1229975	49.4712157	NULL	NULL
PGC2354226	126.93713399999999	49.8126485	NULL	NULL
PGC2436165	133.099884	53.264042599999996	NULL	NULL
PGC2440507	263.1001035	53.416792799999996	NULL	NULL
PGC2503925	265.58987549999995	55.4891933	NULL	NULL
PGC2525519	131.91828149999998	56.1001956	NULL	NULL
PGC2630782	144.91002299999997	62.11255799999999	NULL	NULL
PGC2639903	259.75274700000006	62.6103865	NULL	NULL
PGC2659173	256.308549	63.656795900000006	NULL	NULL
PGC2678729	256.43045400000005	65.5779884	NULL	NULL
PGC3129854	114.952914	40.6344786	NULL	NULL
PGC3131684	123.779628	48.3690245	NULL	NULL
PGC3132790	126.00245249999999	51.540457	NULL	NULL
PGC3136612	260.1207855	58.7971152	NULL	NULL
PGC3140009	260.18178900000004	65.6752186	NULL	NULL
SDSSJ172908.33+571901.0	262.284795	57.3169265	NULL	NULL
ESO253-003	81.32520899999999	-46.0059167	NULL	NULL
ESO254-017	91.6489995	-47.4985833	2.737826458598658e-12	NULL
ESO362-018	79.8991395	-32.6577983	1.9540900147996254e-11	NULL
NGC1566	65.001642	-54.93780970000001	1.3822443190036893e-11	NULL
PGC3104513	57.78976800000001	-6.782569500000001	NULL	NULL
SDSSJ034538.83+000709.0	56.411713500000005	0.1191729	NULL	NULL
UGC02936	60.700885500000005	1.9658243999999998	1.079239237040952e-12	NULL
ESO254-017	91.6489995	-47.4985833	2.737826458598658e-12	NULL
PGC024141	128.9116065	-4.0881407	6.51365853615582e-12	NULL
PGC1376353	120.1120485	10.2191489	NULL	NULL
PGC3095819	130.523241	7.9903925000000005	1.5682651574935869e-12	NULL
2MASXJ02044427+0110155	31.184431500000002	1.171351	NULL	NULL
2MASXJ03134812-0653323	48.4505985	-6.892362299999999	NULL	NULL
ESO253-003	81.32520899999999	-46.0059167	NULL	NULL
ESO417-006	44.08970849999999	-32.1855833	2.464556553630204e-12	NULL
ESO420-013	63.457041000000004	-32.006986100000006	NULL	NULL
IC2202	111.9781695	-67.5741852	NULL	NULL
NGC0985	38.6577345	-8.7878045	2.1685635925861035e-11	NULL
NGC1019	39.61425	1.9076667	NULL	NULL
NGC1142	43.800942	-0.18357620000000002	NULL	NULL
NGC1204	46.1664165	-12.3413194	NULL	NULL
NGC1241	47.810943	-8.9220781	NULL	NULL
NGC1320	51.202917	-3.0422778	NULL	NULL
NGC1365	53.401666500000005	-36.1405075	1.3760995815070842e-11	NULL
NGC1566	65.001642	-54.93780970000001	1.3822443190036893e-11	NULL
PGC010539	41.765106	-0.5925807	NULL	NULL
PGC010875	43.0974375	-8.5104302	1.0309331513469466e-12	NULL
PGC012776	51.2706045	-12.3079444	NULL	NULL
PGC012801	51.355666500000005	-6.143877	3.852477798577114e-12	NULL
PGC097508	44.4201465	-16.5127639	4.082578893005451e-12	NULL
PGC176451	54.154111500000006	-6.7582815	NULL	NULL
PGC268761	61.9942995	-71.4753397	NULL	NULL
PGC1003901	47.7532545	-8.424544599999999	NULL	NULL
PGC1004463	48.9889875	-8.3801597	NULL	NULL
PGC1020891	55.395461999999995	-7.323753999999999	NULL	NULL
PGC1020921	45.8546985	-7.3219321	NULL	NULL
PGC1029077	44.750615999999994	-6.7604823000000005	NULL	NULL
PGC1128776	30.360389999999995	-1.020992	NULL	NULL
PGC1134418	36.161334	-0.7992630000000001	NULL	NULL
PGC1139108	37.759683	-0.6091962	NULL	NULL
PGC1163239	35.2234185	0.33329990000000004	NULL	NULL
PGC1170971	46.384916999999994	0.6245807	NULL	NULL
PGC1171486	44.3532075	0.6428726	NULL	NULL
PGC1179154	28.9446165	0.9210466	NULL	NULL
PGC1181891	35.426886	1.0134356	NULL	NULL
PGC3101478	39.286156500000004	-9.400381699999999	NULL	NULL
PGC3103624	38.20173	-7.6934932	NULL	NULL
PGC3104580	51.61476450000001	-6.7009391	NULL	NULL
PGC3104347	54.411865500000005	-6.9587308000000005	NULL	NULL
PGC3105140	48.946632	-5.979342099999999	NULL	NULL
PGC3109064	29.005560000000003	-0.7428981	NULL	NULL
PGC3116707	49.342684500000004	0.8002529	NULL	NULL
PGC3117922	43.688631	1.0498629	NULL	NULL
SDSSJ030650.31-002104.2	46.7096055	-0.3511598	NULL	NULL
