Name        Objtype  Agnclass  RA          DEC          Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized     Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
PGC654356   G        S1.5      23.0770472  -35.0203056  -522.9209364636209   2578.8570193079117  02      1       1    1182.0              1.0008467400508043       5897.931039236392   4.994014427803888          
ESO538-025  G        S2        0.1817407   -21.0674294  -47.78874597701148   2344.551914076214   02      1       2    1218.0              1.000821692686935        4175.3472181075795  3.4308522745337546         
PGC3093285  G        S2        23.8004645  -9.1987893   -72.15208662790695   2732.3009225856367  02      1       3    1204.0              1.0008312551953449       4933.719970480259   4.101180357838952          
IC1495      G        S2        23.5132597  -13.4854444  2382.3344165160233   3085.8503818774207  02      1       3    1217.0              1.0008223684210527       7051.073202003615   5.7985799358582355         
PGC089423   G        S2        23.53271    -18.7724005  1400.9308263934427   2784.4593974180843  02      1       3    1220.0              1.0008203445447088       6797.684069534967   5.5764430430967735         
ESO602-031  G        S1.8      22.6155337  -22.2208755  2868.010961639344    7507.2479052462195  02      1       4    1220.0              1.0008203445447088       36458.77103447579   29.90875392491861          
PGC093365   G        S2        1.1981819   -45.9796128  -242.78110198183316  2126.9155069026724  02      2       2    1211.0000000000002  1.000826446280992        4442.281357922711   3.6713069073741416         
PGC101950   G        S2        1.2017578   -44.8292743  234.40445944170773   2195.9207163336873  02      2       2    1218.0000000000002  1.0008216926869353       4974.578168040072   4.0875745012654665         
PGC101952   G        S2        1.2197178   -45.0293996  -399.2881228688524   2755.08854258602    02      2       2    1220.0              1.0008203445447088       7192.153069304026   5.900043535114049          
PGC101956   G        S2        1.2374035   -45.3309702  445.9373145919208    2940.1370522956995  02      2       2    1213.0              1.0008250825082508       7958.9579962335165  6.566797026595311          
PGC537626   G        S2        0.5266601   -44.4092514  -519.9541075533662   1903.429030036949   02      2       2    1218.0              1.000821692686935        4870.613105847133   4.002147169964776          
PGC539558   G        S2        0.5783196   -44.2241987  596.0978929508196    1805.1606602538666  02      2       2    1220.0              1.0008203445447088       4961.28243669289    4.069960981700484          
PGC539867   G        S2        0.6071917   -44.1947778  746.1309545977012    2047.1973217402913  02      2       2    1218.0000000000002  1.0008216926869353       5520.328335134104   4.5360134224602335         
PGC546480   G        S2        0.6606028   -43.6323611  0.6163055646481155   1932.5745926355496  02      2       2    1222.0              1.0008190008190008       5053.780681681656   4.139050517347793          
PGC130048   G        S2        0.6255469   -44.136932   825.2492891980361    2263.7971999984725  02      2       2    1222.0              1.0008190008190008       6134.07850947135    5.023815323072359          
ESO195-035  G        S2        1.2653429   -50.1893749  1608.348391111111    3686.62718300387    02      2       2    1215.0              1.0008237232289952       8693.085551318069   7.160696500262             
PGC073694   G        S2        1.1629435   -45.7826569  2930.238520743802    3385.1174573919884  02      2       2    1210.0              1.0008271298593878       16439.853989238232  13.597894118476619         
PGC560930   G        S2        0.5062944   -42.6153333  2577.8369871205905   2608.9334359769464  02      2       3    1218.9999999999998  1.000821018062397        14179.670445003167  11.641765554189792         
ESO351-025  G        S2        0.9728655   -36.6601452  -763.9928891178896   2846.673302072963   02      2       3    1213.0              1.0008250825082508       6590.394217277997   5.437618991153463          
NGC7590     G        S2        23.3152121  -42.2391053  -3274.3947967715235  6197.8532229362545  02      2       4    1208.0              1.0008285004142503       10627.578765378606  8.80495340959288           
NGC7496     G        S2        23.1631326  -43.4280262  -617.7668895300907   4082.70635383152    02      2       4    1213.0              1.0008250825082508       5245.406429604458   4.327893093733051          
ESO292-009  G        S2        23.6734139  -44.5144444  418.9439206414473    2930.2730578188634  02      2       4    1216.0000000000002  1.00082304526749         6269.004659665632   5.159674617008751          
ESO153-020  G        S2        2.1009736   -55.1935833  -349.45763264971305  2918.2550272947424  02      3       1    1219.0              1.0008210180623973       5007.38358002486    4.11115236455243           
PGC073132   G        S2        23.9845444  -60.9165     676.5662558497011    3268.370231888454   02      3       2    1171.0              1.0008547008547009       7018.801218052154   5.998975400044576          
ESO113-010  G        S1.8      1.0880327   -58.4374367  -2928.7283585306127  6853.495244392149   02      3       2    1225.0              1.0008169934640523       38613.21913304682   31.54674765771799          
PGC376693   G        S1.9      1.3658333   -58.7448333  -400.28949383730486  2021.1515757374175  02      3       2    1217.0              1.0008223684210527       5901.61880291922    4.853304936611201          
PGC097511   G        S2        3.4033222   -57.8365556  -73.17453705834018   1956.9920019911274  02      3       4    1217.0              1.0008223684210527       4370.672297253084   3.594302876030497          
ESO116-018  G        S2        3.4147312   -60.738268   101.93601924342103   2351.8573363812393  02      3       4    1216.0000000000002  1.00082304526749         4051.7443508657225  3.334769013058208          
PGC397822   G        S1.5      3.2559174   -56.7140571  1401.0056894607842   2855.947911494885   02      3       4    1224.0              1.0008176614881439       12698.752074138367  10.38328051851052          
ESO157-023  G        S2        4.3733519   -56.2254967  -964.7787599176954   2843.9343423718165  02      4       1    1214.9999999999998  1.000823723228995        5633.5846877055865  4.640514569773959          
PGC268761   g        S2        4.1329533   -71.4753397  -786.6978151763742   2237.6749026538614  02      4       2    1219.0              1.0008210180623973       7597.314907995452   6.2375327651851            
ESO055-002  ?        S2        3.9002139   -72.1338333  -16.12910629084959   2629.6499388768016  02      4       2    1223.9999999999998  1.0008176614881437       7180.15897778416    5.870939474884841          
ESO033-002  G        S2        4.9330667   -75.5411944  -502.1033805077805   2723.4688390922342  02      4       2    1221.0              1.0008196721311475       4603.79475807511    3.773602260717303          
IC2202      G        S2        7.4652113   -67.5741852  703.7592824112305    3568.616817804882   02      4       3    1211.0              1.0008264462809917       4818.172746801815   3.9819609477700952         
PGC326141   G        S2        6.5335639   -64.1027778  422.2664063882064    2354.638648191069   02      4       4    1221.0000000000002  1.0008196721311478       5354.4399604338305  4.388885213470353          
ESO121-028  G        S2        6.3960387   -60.9785295  1371.9582922950817   3548.1277036457655  02      4       4    1220.0              1.0008203445447088       6906.301623070399   5.665546860599179          
