Name                     Objtype  Agnclass  RA         DEC          Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized    Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
ESO541-001               G        S2        0.9175417  -19.006      -155.22557477931906  2711.2172087343333  03      1       1    793.0              1.0012626262626263       2349.5480893463214  2.966601122912022          
ESO540-014               G        S2        0.6866018  -21.1314437  -1182.88957475       2529.058660888608   03      1       1    800.0              1.0012515644555695       3410.879206031645   4.268935176510194          
PGC002634                G        S2        0.7393948  -17.3512576  1015.0718409499361   3608.4559779402216  03      1       1    779.0000000000001  1.001285347043702        5861.6905077428255  7.534306565222141          
IC0078                   G        S2        1.1465536  -15.8446122  -540.8622379436964   3565.228472056246   03      1       1    817.0              1.0012254901960784       4164.895513466968   5.104038619444814          
ESO540-001               G        S1.8      0.5704738  -21.4389112  -1641.7998146649807  3412.9690218596375  03      1       1    791.0              1.0012658227848101       4578.566613516081   5.795653941159596          
PGC3102154               G        S2        1.8956481  -8.9542599   116.41948447204969   2085.192460183064   03      1       2    805.0              1.0012437810945274       2670.987199667523   3.3221233826710486         
PGC006047                G        S2        1.634836   -12.8696409  744.7599531612902    2635.265382277922   03      1       2    775.0              1.0012919896640826       3761.7127685739633  4.860094016245431          
NGC0640                  G        S2        1.6569122  -9.4011888   -174.4999957553059   2063.2999212579     03      1       2    801.0              1.00125                  2344.352188813321   2.930440236016651          
PGC1175724               G        S2        1.3950564  0.7964423    1238.2745706874189   21.281912163088762  03      1       3    770.9999999999999  1.0012987012987011       719528.0455783557   934.4520072446178          
PGC004577                G        S2        1.2675816  -0.1146253   1424.8833483160622   20.3096479166701    03      1       3    772.0000000000001  1.0012970168612194       2848984.4918073346  3695.180923226115          
NGC0426                  G        S2        1.2135002  -0.2901797   1738.0700327272727   13.645503289933961  03      1       3    769.9999999999998  1.0013003901170348       1702997.7927306544  2214.5614989995506         
PGC073837                G        S2        1.2455147  0.2860168    1336.9557094559584   23.480367553932314  03      1       3    772.0000000000001  1.0012970168612194       1133551.076126304   1470.2348587889805         
