Name                     Objtype  Agnclass  RA         DEC          Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized     Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
PGC177452                G        S2        4.5275458  -5.4322222   -923.6785936960277   2165.4732946836493  05      1       1    1158.0              1.0008643042350907       4381.044585779404   3.7865553896105477         
PGC1029690               G        S2        3.922941   -6.7122797   -15.683603687821629  2319.7646837050456  05      1       1    1166.0              1.0008583690987125       4781.375177973474   4.10771063399783           
UGC02936                 G        S2        4.0467257  1.9658244    -3752.001884514436   6108.484614836883   05      1       1    1142.9999999999998  1.0008756567425567       18324.66525788347   16.046116688164158         
PGC3104513               G        S2        3.8526512  -6.7825695   -2211.098804639175   5353.138059216837   05      1       1    1164.0000000000005  1.0008598452278594       27311.27987008629   23.503683192845344         
PGC1050963               G        S2        3.9414351  -4.9752087   728.6992994800694    2448.5730865689698  05      1       1    1154.0              1.0008673026886383       5060.838976212089   4.393089389072994          
PGC1036549               G        S2        3.9679253  -6.1183147   -182.23069254498714  2151.8679865735994  05      1       1    1167.0              1.0008576329331047       4109.146739081125   3.527164582902253          
PGC1038662               G        S2        3.9704754  -5.939606    -401.0475658075601   2849.1500036803186  05      1       1    1164.0              1.000859845227859        6351.906390911054   5.466356618684212          
SDSSJ040137.83-051436.0  G        S2        4.0271788  -5.2433718   -219.3569487467589   2597.528853866211   05      1       1    1157.0              1.0008650519031141       5867.734008958657   5.08028918524559           
PGC1034208               G        S2        4.038467   -6.3202324   129.73421220980225   2124.9286335600736  05      1       1    1163.0              1.0008605851979346       3760.619244842437   3.2391207965912465         
PGC1031234               G        S2        3.864929   -6.5786005   283.815930266552     2301.100538063403   05      1       1    1163.0              1.0008605851979346       4480.816052670528   3.8594453511374054         
PGC1038317               G        S2        3.9218307  -5.968801    -194.2206202749141   2271.7067153202815  05      1       1    1164.0              1.000859845227859        4787.602638391783   4.120139964192584          
PGC1050379               G        S2        3.9571203  -5.0207065   806.5300695951765    1979.9433445968627  05      1       1    1161.0              1.0008620689655172       4089.830326366643   3.5287578312050414         
PGC1053773               G        S2        3.9249161  -4.7675455   -253.71674792027727  2237.5877471841713  05      1       1    1154.0              1.0008673026886383       4336.167518985252   3.764034304674698          
PGC3105063               G        S2        4.0290418  -6.0940871   -6.594589098712434   1950.547379740804   05      1       1    1165.0              1.0008591065292096       3497.866320077974   3.007623663007716          
PGC3105606               G        S2        3.8068483  -5.0508067   -657.4915501712329   2272.8440231702234  05      1       1    1168.0              1.0008568980291346       4888.219187144482   4.192297759129058          
PGC3105639               G        S2        3.8833037  -4.8491246   -1312.2205803278687  2283.7829247159984  05      1       1    1159.0              1.0008635578583764       5966.017563092876   5.15645424640698           
PGC3112841               G        S2        3.7633308  -0.0070807   -309.1303664952871   2372.598355080111   05      1       1    1167.0000000000002  1.000857632933105        4566.025829558329   3.922702602713341          
SDSSJ034548.60+010312.7  G        S2        3.7634984  1.0535594    -1006.734337816594   2327.941658834135   05      1       1    1144.9999999999998  1.0008741258741256       5087.394580024986   4.454811366046397          
SDSSJ035109.74-071104.8  G        S2        3.8527105  -7.1846718   -159.52958369283863  2279.6119932172332  05      1       1    1159.0              1.0008635578583764       5441.684575892222   4.707339598522683          
2MASXJ03515004-0628406   G        S2        3.8639055  -6.4780073   576.5892043252595    2170.9684313236526  05      1       1    1156.0              1.000865800865801        4489.328231336101   3.8902324361664657         
2MASXJ04014975-0432250   G        S2        4.0304956  -4.5400713   102.61389419299744   2415.4305079790565  05      1       1    1170.9999999999998  1.0008547008547006       4841.477306636934   4.1415545822386095         
SDSSJ034538.83+000709.0  G        S2        3.7607809  0.1191729    -92.84497248495249   3979.45213510751    05      1       1    1163.0              1.0008605851979346       7912.312930911557   6.820959423199618          
PGC013617                G        S2        3.7074559  -0.5828492   -534.0843105994787   2700.6485730627373  05      1       1    1151.0              1.0008695652173913       5569.794401091762   4.843299479210228          
UGC03134                 G        S2        4.6967389  -1.3018056   265.87268866952786   3179.3354020392285  05      1       2    1165.0              1.0008591065292096       5657.404004125487   4.8603127183208645         
NGC1667                  G        S2        4.8103277  -6.319777    -1033.3879123488775  3885.8185553547896  05      1       2    1158.0              1.0008643042350907       4619.694853051218   3.992821826319117          
PGC016005                G        S1.5      4.7890903  -5.1371944   -664.1067518614718   3235.652949268593   05      1       2    1155.0              1.0008665511265165       7661.826741596805   6.639364594104683          
NGC1685                  G        S1.9      4.8761944  -2.9492222   -293.4814669535284   2585.9669133663647  05      1       2    1162.0              1.0008613264427217       3520.2451376093204  3.0320802218857197         
ESO420-013               G        S2        4.2304694  -32.0069861  -3729.8478360780987  6349.76818520568    05      2       1    1178.0              1.0008496176720476       23303.9801567492    19.79947337022022          
PGC178130                G        S2        5.0960368  -23.853838   589.928114025974     2043.728242601403   05      2       2    1154.9999999999998  1.0008665511265162       4220.928385302626   3.6576502472293124         
PGC852838                G        S1.5      5.1133222  -19.6140833  431.1498788327527    1849.885295760468   05      2       2    1148.0000000000002  1.0008718395815173       3992.4743699519768  3.480797183916283          
PGC981198                G        S1.5      5.1124812  -10.1932877  197.9903834767642    2013.2953082656886  05      2       3    1162.0              1.0008613264427217       3693.0090662633634  3.180886361983948          
PGC138758                G        S1.9      4.7878583  -9.9263333   -509.4937751084129   2192.8678869550736  05      2       3    1153.0              1.0008680555555556       4552.6643338613285  3.951965567587959          
PGC165408                G        S2        4.6412042  -14.4103333  252.79843882149046   2264.32936436864    05      2       4    1154.0              1.0008673026886383       4397.655266653104   3.8140982364727702         
ESO549-036               G        S2        3.9192403  -17.4693071  601.6265847341338    2547.0762763878656  05      2       4    1165.9999999999995  1.000858369098712        4854.323085152388   4.166800931461277          
NGC1489                  G        S2        3.9605806  -19.2166111  827.8924310671256    2631.168062457816   05      2       4    1162.0              1.0008613264427217       5040.510344572575   4.3415248445930885         
PGC014480                G        S2        4.116965   -10.170826   -2842.350920103093   6494.574784346059   05      2       4    1164.0              1.000859845227859        20254.40740172959   17.4156555474889           
PGC089963                G        S2        3.933574   -13.7090664  278.54245711538465   2512.7837854933246  05      2       4    1040.0              1.0009624639076036       4367.733922957575   4.203786258861959          
PGC944712                G        S1.9      4.1420191  -12.9873978  903.9704626402071    1877.4038589667061  05      2       4    1158.9999999999998  1.0008635578583762       4227.0953421513805  3.650341400821572          
ESO362-008               G        S2        5.1858627  -34.3933844  -351.31731102497855  4107.851584915923   05      3       1    1161.0              1.0008620689655172       6978.878516773646   6.016274583425557          
ESO306-025               G        S2        5.7641755  -39.4941313  980.4433238341968    2610.607684329951   05      3       1    1158.0              1.0008643042350907       4961.249235316768   4.288028725425037          
ESO362-018               G        S1.5      5.3266093  -32.6577983  -18762.71617591179   35324.91320221626   05      3       1    1179.0              1.000848896434635        829515.7440575692   704.1729576040485          
PGC132310                G        S2        4.6603538  -37.085174   310.5722812010444    2178.959353618107   05      3       2    1149.0              1.0008710801393728       4171.827037919518   3.6339956776302422         
ESO304-011               G        S2        4.6832141  -37.5696404  572.5435274290628    2065.29142256833    05      3       2    1163.0              1.0008605851979346       4466.467028494203   3.8437754117850287         
ESO157-023               G        S2        4.3733519  -56.2254967  -1120.5572467419634  2729.437378761911   05      3       3    1151.0              1.0008695652173913       5978.6842632352855  5.198855881074161          
PGC130442                G        S1.5      4.5866778  -46.2375556  396.7327821799308    1793.2864372798924  05      3       3    1156.0              1.000865800865801        3992.059037868605   3.4563281713148095         
NGC1566                  G        S1.5      4.3334428  -54.9378097  18629.56377792755    67930.9077692755    05      3       3    1187.0              1.0008431703204048       477926.1829769196   402.9731728304549          
ESO253-003               G        S2        5.4216806  -46.0059167  -6827.644047009268   15839.82926663936   05      3       4    1187.0              1.0008431703204048       277009.48713272694  233.566178020849           
ESO253-008               G        S2        5.5094319  -45.1184444  985.297956808326     2315.4839699837157  05      3       4    1153.0              1.0008680555555556       5497.6726604907035  4.7722852955648465         
PGC017883                G        S2        5.8079005  -47.7587945  443.6742790838375    1988.5920645535775  05      3       4    1157.0              1.0008650519031141       3857.3868505143228  3.3368398360850544         
ESO254-017               G        S2        6.1099333  -47.4985833  -4796.4690108936165  9081.47105080631    05      3       4    1175.0              1.0008517887563884       55091.849884065596  46.92661829988552          
PGC326141                G        S2        6.5335639  -64.1027778  -1137.6471812230836  2377.72576008154    05      4       1    1161.0              1.0008620689655172       7083.634452733127   6.106581424769937          
ESO121-028               G        S2        6.3960387  -60.9785295  -592.4618639273357   3163.112453878809   05      4       1    1156.0000000000002  1.0008658008658011       5532.196675970026   4.789780671835521          
PGC268761                g        S2        4.1329533  -71.4753397  353.30732869342444   2480.999067519856   05      4       3    1170.9999999999995  1.0008547008547004       6902.223544730621   5.899336363017625          
ESO055-002               ?        S2        3.9002139  -72.1338333  -258.9836847529813   2412.829743650779   05      4       3    1173.9999999999998  1.0008525149190108       5655.638991389604   4.821516616700429          
ESO033-002               G        S2        4.9330667  -75.5411944  -2958.5843032506414  3229.6434854161444  05      4       3    1169.0              1.0008561643835616       10726.168380033578  9.183363339069844          
IC2202                   G        S2        7.4652113  -67.5741852  -1798.9390811682651  3385.689415837067   05      4       4    1147.0              1.0008726003490402       5995.5730410857705  5.231739128347095          
