Name        Objtype  Agnclass  RA         DEC          Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized    Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
PGC019313   G        S2        6.6089645  -20.5814629  220.89105699693567   2302.698997515841   06      2       2    979.0000000000001  1.0010224948875257       3390.710017719465   3.466983658199862          
PGC086000   G        S1.8      6.8419278  -19.99075    345.55750755102036   3123.596092127869   06      2       2    980.0              1.0010214504596526       3685.1953893708164  3.7642445243828564         
ESO362-008  G        S2        5.1858627  -34.3933844  -102.26364759467761  3300.9128976049547  06      3       2    977.0              1.0010245901639345       3758.3514883884864  3.850769967611154          
ESO306-025  G        S2        5.7641755  -39.4941313  179.08307696228337   2333.813993988099   06      3       2    981.0              1.0010204081632652       3272.9152278803567  3.3397094162044456         
ESO362-018  G        S1.5      5.3266093  -32.6577983  514.5678163286003    10422.244501051608  06      3       2    986.0000000000002  1.0010152284263962       48729.44101702234   49.471513722865325         
ESO253-003  G        S2        5.4216806  -46.0059167  650.5039336400819    2252.537462666252   06      3       3    978.0              1.0010235414534288       4010.912969230735   4.105335690103106          
ESO253-008  G        S2        5.5094319  -45.1184444  -58.17830938775513   2797.9845441074895  06      3       3    980.0000000000001  1.0010214504596529       5334.209983480546   5.448631239510261          
PGC017883   G        S2        5.8079005  -47.7587945  -220.22297967313588  2241.6335693165383  06      3       3    979.0              1.0010224948875255       4102.86860958288    4.195162177487608          
PGC326141   G        S2        6.5335639  -64.1027778  -60.16644638124364   1901.409812172017   06      4       1    980.9999999999999  1.0010204081632652       3316.8465115253152  3.384537256658485          
ESO121-028  G        S2        6.3960387  -60.9785295  -1494.5353309887867  3274.643608305904   06      4       1    981.0              1.0010204081632652       6079.23717821221    6.203303243073684          
PGC268761   g        S2        4.1329533  -71.4753397  -183.05197592975196  2659.647857179386   06      4       3    967.9999999999999  1.0010341261633917       6899.90952121909    7.135376960929772          
ESO055-002  ?        S2        3.9002139  -72.1338333  397.5190165474974    2048.5867326558814  06      4       3    979.0              1.0010224948875255       3483.661392015331   3.5620259632058597         
ESO033-002  G        S2        4.9330667  -75.5411944  -96.43111573033713   3233.3832322809053  06      4       3    979.0000000000002  1.0010224948875257       4476.103859465792   4.576793312337211          
IC2202      G        S2        7.4652113  -67.5741852  -1986.0147035051546  3643.9405960264394  06      4       4    969.9999999999999  1.001031991744066        5734.13237799358    5.917577273471187          
