Name        Objtype  Agnclass  RA         DEC          Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized     Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
PGC023859   G        S2        8.5040121  -2.8804205   248.17462377777775   2571.344653139194   07      1       2    449.99999999999994  1.0022271714922049       1651.6114017803404  3.678421830245747          
PGC024141   G        S1.8      8.5941071  -4.0881407   -6250.158152027028   4789.941843928226   07      1       2    444.0               1.002257336343115        9046.40815707748    20.420785907624108         
PGC1376353  G        S1.5      8.0074699  10.2191489   -907.4948163265304   3217.5567615227233  07      1       3    147.0               1.0068493150684932       777.9857003950262   5.328669180787851          
PGC3095819  G        S1.5      8.7015494  7.9903925    1411.6556243055556   2717.8634606978753  07      1       3    144.0               1.006993006993007        842.797491067578    5.893688748724322          
PGC086000   G        S1.8      6.8419278  -19.99075    -85.227975           2852.609959097534   07      2       1    1084.0              1.0009233610341643       4046.05998523913    3.7359741322614313         
PGC017883   G        S2        5.8079005  -47.7587945  87.181095959596      2323.2577900413535  07      3       3    693.0               1.0014450867052023       3542.653728973123   5.119441804874455          
ESO254-017  G        S2        6.1099333  -47.4985833  4368.743168857143    8700.12209475962    07      3       3    700.0000000000001   1.001430615164521        30934.91954031572   44.25596500760475          
ESO209-012  G        S1.5      8.0327755  -49.7783641  -875.8270981856989   2713.077946957709   07      3       4    937.0               1.001068376068376        4284.80998170903    4.577788441996827          
PGC326141   G        S2        6.5335639  -64.1027778  892.7132171023965    2109.5450746067213  07      4       1    918.0               1.0010905125408942       4771.020466535365   5.202857651619809          
IC2202      G        S2        7.4652113  -67.5741852  -393.16739147286825  3213.1703164251635  07      4       1    902.9999999999999   1.0011086474501107       3397.2295587067274  3.7663298877014717         
PGC268761   g        S2        4.1329533  -71.4753397  710.4399434065934    1992.8681283126493  07      4       3    910.0               1.001100110011001        3991.770643731222   4.391386846789024          
ESO055-002  ?        S2        3.9002139  -72.1338333  -292.6434514754098   2130.7773413652394  07      4       3    915.0               1.00109409190372         3371.3526226247595  3.688569608998643          
ESO033-002  G        S2        4.9330667  -75.5411944  1276.4440323176364   3253.133365350596   07      4       4    1083.0              1.0009242144177448       6057.437415842049   5.598370994308732          
