Name                     Objtype  Agnclass  RA          DEC         Mean_Flux            Stddev              Sector  Camera  CCD  Chi2_Normalized     Chi2_reduced_Normalized  Chi2_Standardized   Chi2_reduced_Standardized  
PGC2566584               G        S2        17.2848801  57.491126   -253.1838881938326   1846.8830642449914  19      4       3    1134.9999999999998  1.0008818342151673       3974.1675838019173  3.5045569522062765         
PGC3136317               G        S2        17.0964952  58.2160423  15.876849558303897   2151.8056354362525  19      4       3    1132.0              1.0008841732979663       5448.823425136683   4.817704177839684          
UGC10889                 G        S2        17.5059512  59.6398916  348.39694950936666   2711.3732675946494  19      4       3    1121.0              1.0008928571428573       5243.944705667473   4.6820934872031            
PGC3137966               G        S2        16.8534978  62.5177513  682.412435283688     1946.0139798567275  19      4       3    1128.0              1.0008873114463177       5065.208321787496   4.494417321905498          
PGC2602568               G        S2        16.9779266  60.4690411  495.6624599281222    1788.1078064493065  19      4       3    1113.0              1.0008992805755397       3959.3606340282386  3.5605761097376245         
PGC2644384               G        S2        17.0057981  62.8358209  686.2867625112107    2020.6275355778416  19      4       3    1115.0              1.0008976660682227       4684.1721086149855  4.204822359618479          
PGC3137527               G        S2        17.0243035  60.9927778  -398.49996654240454  1861.9575727907547  19      4       3    1073.0              1.0009328358208955       4444.4610317863235  4.145952455024555          
PGC3136998               G        S2        17.025268   59.7093881  -922.012245962733    2095.364168824706   19      4       3    1127.0              1.0008880994671403       5386.856846146928   4.78406469462427           
PGC2591970               G        S2        17.0358219  59.5745135  -198.78676862401403  1857.4396180289325  19      4       3    1141.0              1.000877192982456        4348.266276155231   3.814268663294062          
PGC2596729               G        S2        17.0724808  59.9968563  -368.53852756756754  1678.1685200909508  19      4       3    1110.0              1.000901713255185        3989.193862483038   3.59710898330301           
PGC2659173               G        S2        17.0872366  63.6567959  199.21321772605188   2219.435620743665   19      4       3    1117.0              1.0008960573476702       5081.7719936080775  4.5535591340574175         
PGC2677795               G        S2        17.1211302  65.471965   685.941698829883     1907.792887629652   19      4       3    1111.0              1.000900900900901        4653.585693422159   4.192419543623567          
PGC2575530               G        S2        17.1658917  58.1801716  -97.27122966252222   2202.305896748024   19      4       3    1126.0000000000002  1.0008888888888892       5099.632888642115   4.533007012126324          
PGC3136130               G        S2        17.1670886  57.7743858  489.87569111697445   2055.1901534882786  19      4       3    1137.0              1.0008802816901408       5176.954175795865   4.5571779716512895         
