| Sector | Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| --- | --- | --- | --- | --- | --- | --- |
| 02 | PGC654356 | S1.5 | 1229.5999 | 1.0412 | 5897.9310 | 4.9898 |
| 02 | ESO538-025 | S2 | 1217.5060 | 1.0004 | 4175.3472 | 3.4280 |
| 02 | PGC089423 | S2 | 1527.8243 | 1.2533 | 6797.6841 | 5.5719 |
| 02 | IC1495 | S2 | 1941.3478 | 1.5965 | 7051.0732 | 5.7938 |
| 02 | PGC3093285 | S2 | 1203.8396 | 1.0007 | 4933.7200 | 4.0978 |
| 02 | ESO602-031 | S1.8 | 1397.0574 | 1.1461 | 36458.7710 | 29.8842 |
| 02 | PGC101950 | S2 | 1230.8786 | 1.0114 | 4974.5782 | 4.0842 |
| 02 | PGC130048 | S2 | 1383.3927 | 1.1330 | 6134.0785 | 5.0197 |
| 02 | PGC093365 | S2 | 1225.7788 | 1.0130 | 4442.2814 | 3.6683 |
| 02 | PGC539558 | S2 | 1352.0342 | 1.1091 | 4961.2824 | 4.0666 |
| 02 | PGC539867 | S2 | 1378.7924 | 1.1329 | 5520.3283 | 4.5323 |
| 02 | PGC073694 | S2 | 2115.6587 | 1.7499 | 16439.8540 | 13.5867 |
| 02 | PGC546480 | S2 | 1221.0001 | 1.0000 | 5053.7807 | 4.1357 |
| 02 | PGC101952 | S2 | 1244.6249 | 1.0210 | 7192.1531 | 5.8952 |
| 02 | ESO195-035 | S2 | 1445.2481 | 1.1905 | 8693.0856 | 7.1548 |
| 02 | PGC537626 | S2 | 1307.8875 | 1.0747 | 4870.6131 | 3.9989 |
| 02 | PGC101956 | S2 | 1239.9044 | 1.0230 | 7958.9580 | 6.5614 |
| 02 | ESO351-025 | S2 | 1299.3704 | 1.0721 | 6590.3942 | 5.4331 |
| 02 | PGC560930 | S2 | 2408.1141 | 1.9771 | 14179.6704 | 11.6322 |
| 02 | NGC7590 | S2 | 1544.1681 | 1.2793 | 10627.5788 | 8.7977 |
| 02 | NGC7496 | S2 | 1239.7724 | 1.0229 | 5245.4064 | 4.3243 |
| 02 | ESO292-009 | S2 | 1239.8559 | 1.0205 | 6269.0047 | 5.1554 |
