| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| --- | --- | --- | --- | --- | --- |
| PGC3130589 | S2 | 1107.0272 | 1.0138 | 3579.0939 | 3.2746 |
| PGC2218451 | S2 | 1573.3648 | 1.4251 | 14349.1432 | 12.9856 |
| PGC2225690 | S2 | 999.0841 | 1.0031 | 42862.5234 | 42.9915 |
| PGC2256344 | S2 | 1111.4530 | 1.0068 | 3420.0798 | 3.0951 |
| PGC2166233 | S2 | 1134.0240 | 1.0291 | 2953.2524 | 2.6775 |
| PGC3131621 | S2 | 1104.5834 | 1.0033 | 3808.7279 | 3.4562 |
| PGC3131049 | S2 | 1226.4477 | 1.1170 | 9486.9570 | 8.6324 |
| PGC3131269 | S2 | 1204.7542 | 1.0942 | 4179.1877 | 3.7924 |
| PGC2356735 | S2 | 1254.9454 | 1.1440 | 3954.1341 | 3.6012 |
| PGC2325697 | S2 | 1105.2611 | 1.0002 | 5238.6187 | 4.7365 |
| PGC3131770 | S2 | 1126.9127 | 1.0377 | 6860.3503 | 6.3113 |
| PGC2190352 | S2 | 1383.8148 | 1.2569 | 403853.2584 | 366.4730 |
| PGC2317854 | S2 | 1229.8551 | 1.1242 | 4119.3277 | 3.7619 |
| PGC2259110 | S2 | 1126.6556 | 1.0261 | 2959.3846 | 2.6928 |
| PGC023138 | S1.5 | 1253.3287 | 1.1415 | 9540.5940 | 8.6812 |
| PGC3131501 | S2 | 1139.1381 | 1.0346 | 3503.1780 | 3.1789 |
| PGC3130307 | S2 | 1092.1636 | 1.0029 | 3227.2190 | 2.9608 |
| PGC3131504 | S2 | 1110.6001 | 1.0087 | 3997.3282 | 3.6273 |
| PGC2262324 | S2 | 1437.6213 | 1.3081 | 5399.0757 | 4.9083 |
| UGC04229 | S2 | 1215.7657 | 1.1083 | 5633.9609 | 5.1311 |
| PGC2162568 | S2 | 1658.5413 | 1.4982 | 77818.8815 | 70.2336 |
| PGC2291127 | S2 | 1102.8455 | 1.0062 | 3337.1284 | 3.0420 |
| PGC2820656 | S2 | 1130.5608 | 1.0278 | 12678.7574 | 11.5157 |
| PGC2224960 | S2 | 1137.0635 | 1.0309 | 3527.5084 | 3.1952 |
| PGC3130615 | S2 | 1245.2481 | 1.1310 | 3523.3443 | 3.1972 |
| PGC2264228 | S2 | 1107.1381 | 1.0047 | 4140.3689 | 3.7537 |
| PGC2192814 | S2 | 1102.0463 | 1.0028 | 2546.7210 | 2.3152 |
| PGC2312528 | S2 | 1168.3877 | 1.0631 | 3803.3280 | 3.4576 |
| PGC3130850 | S2 | 1096.3285 | 1.0003 | 4235.0933 | 3.8606 |
| PGC2260667 | S2 | 1109.7610 | 1.0080 | 3059.5806 | 2.7764 |
| PGC3131736 | S2 | 1147.2369 | 1.0564 | 3682.0314 | 3.3873 |
| 2MASXJ07564214+4439348 | S2 | 1119.2530 | 1.0138 | 3290.5045 | 2.9778 |
| PGC3130100 | S2 | 1084.1262 | 1.0010 | 3865.7908 | 3.5662 |
| PGC3131388 | S2 | 1118.0383 | 1.0164 | 3685.6400 | 3.3475 |
| PGC3131206 | S2 | 1145.4186 | 1.0645 | 9742.1643 | 9.0456 |
| PGC2302672 | S2 | 1107.0754 | 1.0055 | 3532.0908 | 3.2052 |
| PGC2207837 | S2 | 1168.9506 | 1.0617 | 29805.7904 | 27.0470 |
| 2MASXJ08113873+5006289 | S2 | 1105.0928 | 1.0001 | 5674.4103 | 5.1306 |
| PGC2225501 | S2 | 1136.8846 | 1.0326 | 3315.4662 | 3.0086 |
| PGC2159372 | S2 | 1167.5428 | 1.0547 | 49736.1020 | 44.8882 |
| PGC2301259 | S2 | 1156.2862 | 1.0483 | 3473.2085 | 3.1460 |
| PGC2314090 | S2 | 1294.9602 | 1.1730 | 4997.2873 | 4.5224 |
| PGC2163230 | S2 | 1295.4005 | 1.1776 | 4108.2469 | 3.7314 |
| PGC3130138 | S2 | 1097.1338 | 1.0084 | 3299.0157 | 3.0294 |
| PGC2334840 | S2 | 1116.0786 | 1.0165 | 4317.9328 | 3.9290 |
| PGC3131072 | S2 | 1178.1064 | 1.0779 | 3164.2887 | 2.8924 |
| PGC2309603 | S2 | 1260.4436 | 1.1417 | 4530.2268 | 4.0998 |
| PGC2272950 | S1.9 | 1100.0400 | 1.0000 | 3962.4461 | 3.5990 |
| PGC2197992 | S2 | 1185.3088 | 1.0756 | 4757.4364 | 4.3132 |
| PGC2281134 | S2 | 1423.5421 | 1.2941 | 6094.6622 | 5.5356 |
| PGC3130386 | S2 | 1096.2152 | 1.0020 | 3348.1711 | 3.0577 |
| PGC2327141 | S2 | 1160.1307 | 1.0528 | 4861.8759 | 4.4079 |
| PGC3130875 | S2 | 1103.2555 | 1.0011 | 2973.0479 | 2.6954 |
| PGC2267492 | S2 | 1179.0852 | 1.0700 | 3783.0022 | 3.4297 |
| PGC023015 | S2 | 1127.3674 | 1.0212 | 4592.3265 | 4.1560 |
| PGC2159647 | S2 | 1120.8060 | 1.0143 | 10560.4196 | 9.5483 |
