| Object_Name | AGN_Type | Chi2_Test1 | Reduced_Chi2_Test1 | Chi2_Test2 | Reduced_Chi2_Test2 |
| --- | --- | --- | --- | --- | --- |
| PGC013617 | S2 | 1195.0152 | 1.0391 | 5569.7944 | 4.8391 |
| SDSSJ034538.83+000709.0 | S2 | 1162.6331 | 1.0005 | 7912.3129 | 6.8034 |
| PGC1029690 | S2 | 1165.0533 | 1.0000 | 4781.3752 | 4.1007 |
| PGC1038662 | S2 | 1186.0629 | 1.0198 | 6351.9064 | 5.4570 |
| PGC3112841 | S2 | 1185.8110 | 1.0170 | 4566.0258 | 3.9126 |
| PGC3105583 | S2 | 1198.7337 | 1.0237 | 4672.8514 | 3.9871 |
| PGC1038317 | S2 | 1171.5082 | 1.0073 | 4787.6026 | 4.1131 |
| PGC1036549 | S2 | 1174.3692 | 1.0072 | 4109.1467 | 3.5211 |
| PGC1031234 | S2 | 1179.6922 | 1.0152 | 4480.8161 | 3.8528 |
| 2MASXJ03515004-0628406 | S2 | 1236.5425 | 1.0706 | 4489.3282 | 3.8835 |
| PGC3104513 | S2 | 1361.5877 | 1.1708 | 27311.2799 | 23.4633 |
| PGC1050963 | S2 | 1255.2060 | 1.0886 | 5060.8390 | 4.3855 |
| 2MASXJ04014975-0432250 | S2 | 1172.1134 | 1.0018 | 4841.4773 | 4.1345 |
| PGC177452 | S2 | 1367.6904 | 1.1821 | 4381.0446 | 3.7833 |
| PGC1050379 | S2 | 1352.6495 | 1.1661 | 4089.8303 | 3.5227 |
| SDSSJ040137.83-051436.0 | S2 | 1164.2512 | 1.0071 | 5867.7340 | 5.0715 |
| PGC1034208 | S2 | 1166.3351 | 1.0037 | 3760.6192 | 3.2336 |
| 2MASXJ03461663-0544485 | S2 | 1152.0038 | 1.0000 | 4661.9073 | 4.0433 |
| SDSSJ034548.60+010312.7 | S2 | 1358.1367 | 1.1872 | 5087.3946 | 4.4431 |
| PGC3105063 | S2 | 1164.0133 | 1.0000 | 3497.8663 | 3.0025 |
| SDSSJ035109.74-071104.8 | S2 | 1163.6760 | 1.0049 | 5441.6846 | 4.6952 |
| PGC1053773 | S2 | 1167.8369 | 1.0129 | 4336.1675 | 3.7575 |
| PGC3105606 | S2 | 1264.7426 | 1.0838 | 4888.2192 | 4.1851 |
| PGC3105639 | S2 | 1540.6375 | 1.3304 | 5966.0176 | 5.1476 |
| UGC02936 | S2 | 1573.2264 | 1.3776 | 18324.6653 | 16.0321 |
| UGC03134 | S2 | 1172.1471 | 1.0070 | 5657.4040 | 4.8561 |
| PGC016005 | S1.5 | 1202.6557 | 1.0422 | 7661.8267 | 6.6336 |
| NGC1667 | S2 | 1238.8974 | 1.0708 | 4619.6949 | 3.9894 |
| NGC1685 | S1.9 | 1175.9665 | 1.0129 | 3520.2451 | 3.0295 |
| ESO420-013 | S2 | 1583.4544 | 1.3453 | 23303.9802 | 19.7827 |
| PGC178130 | S2 | 1250.2352 | 1.0834 | 4220.9284 | 3.6545 |
| PGC852838 | S1.5 | 1209.3604 | 1.0544 | 3992.4744 | 3.4778 |
| PGC138758 | S1.9 | 1214.2418 | 1.0540 | 4552.6643 | 3.9485 |
| PGC981198 | S1.5 | 1172.2377 | 1.0097 | 3693.0091 | 3.1781 |
| PGC944712 | S1.9 | 1426.7055 | 1.2320 | 4227.0953 | 3.6472 |
| NGC1489 | S2 | 1276.0421 | 1.0991 | 5040.5103 | 4.3378 |
| PGC014480 | S2 | 1385.9497 | 1.1917 | 20254.4074 | 17.4007 |
| PGC089963 | S2 | 1051.7793 | 1.0123 | 4367.7339 | 4.1997 |
| PGC165408 | S2 | 1167.3839 | 1.0125 | 4397.6553 | 3.8108 |
| ESO549-036 | S2 | 1230.0532 | 1.0558 | 4854.3231 | 4.1632 |
| ESO306-025 | S2 | 1320.3316 | 1.1412 | 4961.2492 | 4.2843 |
| ESO362-008 | S2 | 1168.4918 | 1.0073 | 6978.8785 | 6.0111 |
| ESO362-018 | S1.5 | 1510.6159 | 1.2824 | 829515.7441 | 703.5757 |
| ESO304-011 | S2 | 1251.3787 | 1.0769 | 4466.4670 | 3.8405 |
| PGC132310 | S2 | 1171.3425 | 1.0203 | 4171.8270 | 3.6308 |
| PGC130442 | S1.5 | 1211.5789 | 1.0490 | 3992.0590 | 3.4533 |
| NGC1566 | S1.5 | 1275.2732 | 1.0753 | 477926.1830 | 402.6337 |
| ESO157-023 | S2 | 1343.9980 | 1.1687 | 5978.6843 | 5.1943 |
| ESO253-008 | S2 | 1360.7762 | 1.1812 | 5497.6727 | 4.7681 |
| ESO254-017 | S2 | 1501.7697 | 1.2792 | 55091.8499 | 46.8867 |
| ESO253-003 | S2 | 1406.5421 | 1.1860 | 277009.4871 | 233.3694 |
| PGC017883 | S2 | 1213.5931 | 1.0498 | 3857.3869 | 3.3340 |
| ESO121-028 | S2 | 1195.5555 | 1.0351 | 5532.1967 | 4.7856 |
| PGC326141 | S2 | 1425.7810 | 1.2291 | 7083.6345 | 6.1013 |
| ESO033-002 | S2 | 2149.0096 | 1.8399 | 10726.1684 | 9.1755 |
| ESO055-002 | S2 | 1186.5257 | 1.0115 | 5655.6390 | 4.8174 |
| PGC268761 | S2 | 1193.7470 | 1.0203 | 6902.2235 | 5.8943 |
| IC2202 | S2 | 1469.8188 | 1.2826 | 5995.5730 | 5.2272 |
